battery_id,model_name,number_of_discharge_cycles,number_of_train_cycles,number_of_test_cycles,number_of_train_rows,number_of_test_rows,train_rmse_v,test_rmse_v,train_mae_v,test_mae_v,baseline_intercept,coef_soc,coef_soc_squared,coef_soc_cubed,coef_discharge_current_a
B0033,hybrid_residual_without_temperature,197,137,60,16525,4817,0.013997130787705125,0.07775532936704117,0.006689772060943144,0.057696377720603285,3.1380698509560276,2.9103115389882133,-5.448230032156733,3.571299361273973,-0.14507833894859767
B0033,mlp_hybrid_residual_without_temperature,197,137,60,16525,4817,0.03613378776629216,0.19050610608632035,0.01743104284778309,0.16570564444592475,3.1380698509560276,2.9103115389882133,-5.448230032156733,3.571299361273973,-0.14507833894859767
B0033,temperature_aware_hybrid_residual,197,137,60,16525,4817,0.013922920357103317,0.08505369279218776,0.006888514265592404,0.05842558319847531,3.1380698509560276,2.9103115389882133,-5.448230032156733,3.571299361273973,-0.14507833894859767
B0034,physics_inspired_baseline,197,137,60,15933,5247,0.07534372457862389,0.08328913380367016,0.04270364465687612,0.056166284460018964,3.16973702380177,2.719948122584555,-5.007114027733395,3.3020421982845836,-0.14726141010425242
B0034,hybrid_residual_without_temperature,197,137,60,15933,5247,0.014294363909647018,0.054158283173627295,0.0052755996479751195,0.023847180214048476,3.16973702380177,2.719948122584555,-5.007114027733395,3.3020421982845836,-0.14726141010425242
B0034,mlp_hybrid_residual_without_temperature,197,137,60,15933,5247,0.037931081458787014,0.07393799911218858,0.014412631714924299,0.03689313164735949,3.16973702380177,2.719948122584555,-5.007114027733395,3.3020421982845836,-0.14726141010425242
B0034,temperature_aware_hybrid_residual,197,137,60,15933,5247,0.011468806369125286,0.038214783270332627,0.004855701643055587,0.020516723479991426,3.16973702380177,2.719948122584555,-5.007114027733395,3.3020421982845836,-0.14726141010425242
B0036,physics_inspired_baseline,197,137,60,35337,11728,0.05003606566986233,0.04615303358429503,0.030642188334154042,0.028811690095664602,3.2546357716707854,2.3750218187381655,-4.123155241509637,2.678241682987375,-0.13605334186000168
B0036,hybrid_residual_without_temperature,197,137,60,35337,11728,0.011947655722468052,0.010017279460901803,0.00378990849418073,0.007461783853555691,3.2546357716707854,2.3750218187381655,-4.123155241509637,2.678241682987375,-0.13605334186000168
B0036,mlp_hybrid_residual_without_temperature,197,137,60,35337,11728,0.012969667705323613,0.042043441738503405,0.00607083385138534,0.030429642770408518,3.2546357716707854,2.3750218187381655,-4.123155241509637,2.678241682987375,-0.13605334186000168
